Date,Type,Actual,Lasso + Linear_Prediction,All Linear Models_Prediction,Linear + Random Forest_Prediction,All Tree Models_Prediction,All Models_Prediction
2007-05-01,Train,3.90760951551368,3.9349123096196905,3.9240300058068196,3.907811935138923,3.9066764500024296,3.9153532279046246
2007-06-01,Train,3.91114317668504,3.9375157273673214,3.9268065001069385,3.910292803236014,3.9097767055089534,3.9182916028079458
2007-07-01,Train,3.91333880616923,3.940120649310297,3.930096948362134,3.9129325441896987,3.9132240861230803,3.921660517242607
2007-08-01,Train,3.91563783400332,3.94227038227363,3.9313272815439966,3.915295253041159,3.9152463112758915,3.9232867964099434
2007-09-01,Train,3.91617993956621,3.943188029532676,3.9307629977405,3.9153180484084324,3.91599909284171,3.923381045291105
2007-10-01,Train,3.91494599555178,3.943849992850274,3.9320275699237635,3.916469376841241,3.9155302807303163,3.9237789253270403
2007-11-01,Train,3.91336105875832,3.94167109723055,3.9341123007778047,3.9133115616490866,3.913810127707769,3.923961214242786
2007-12-01,Train,3.91246286399475,3.940376692540943,3.9312097979601384,3.91361126096362,3.913882217226197,3.9225460075931675
2008-01-01,Train,3.91276622647215,3.9401345342099496,3.9316034949639533,3.912444503032837,3.9127158098511017,3.9221596524075273
2008-02-01,Train,3.91958447125497,3.944691583094177,3.9425510894333518,3.9227842500991317,3.9226181396723945,3.932584614552873
2008-03-01,Train,3.93253579614833,3.953115724656583,3.951761746267446,3.9340913804604956,3.9338697430001575,3.9428157446338017
2008-04-01,Train,3.96243202900522,3.9734243238971203,3.9764396239153252,3.9533529367372204,3.956337135409292,3.9663883796623085
2008-05-01,Train,4.00941199915388,4.0090594694639865,4.014198938269211,3.996880784701225,4.00105910880948,4.007629023539345
2008-06-01,Train,4.082705356851,4.064889781608578,4.070341291983799,4.064543698976649,4.069968654241992,4.070154973112895
2008-07-01,Train,4.18660075746957,4.145514072082756,4.151600281383325,4.15664681300299,4.166624790833215,4.15911253610827
2008-08-01,Train,4.31173261652376,4.252221779401867,4.270038174653915,4.277488155833361,4.287919356448389,4.278978765551152
2008-09-01,Train,4.47052214906229,4.381124370601309,4.401462187844221,4.433716433536711,4.444868389660104,4.423165288752163
2008-10-01,Train,4.63581266900277,4.528844816244099,4.558913417692651,4.588566062066361,4.603758613536283,4.581336015614466
2008-11-01,Train,4.81928670102025,4.687818324426738,4.729166297344634,4.774452240605627,4.789279276974002,4.759222787159318
2008-12-01,Train,5.00323770082916,4.854239523288876,4.90389337806872,4.959092441164022,4.973771613764289,4.938832495916505
2009-01-01,Train,5.18101928230427,5.018106237722307,5.07265309978796,5.151136111861051,5.161141184309252,5.1168971420486065
2009-02-01,Train,5.35771284781976,5.178370203544807,5.23523655866646,5.349517238977807,5.352709741945811,5.293973150306136
2009-03-01,Train,5.50800364061915,5.325797863263675,5.386869941484441,5.496361773871249,5.49955097869769,5.443210460091064
2009-04-01,Train,5.64424909455467,5.454662434311006,5.516625761780504,5.603903455570187,5.617544912221892,5.567085337001198
2009-05-01,Train,5.74611829124121,5.561199974446506,5.6256501469784235,5.712850458276044,5.724307299648314,5.674978723313369
2009-06-01,Train,5.81837516495622,5.638320292828681,5.698531552531944,5.786547743402698,5.797234332871187,5.747882942701565
2009-07-01,Train,5.86243282862441,5.690444346454353,5.7513527628946655,5.840693344503831,5.847240208659767,5.799296485777217
2009-08-01,Train,5.87766705233473,5.714702957420235,5.771458031137537,5.86033945060944,5.865483295106322,5.8184706631219285
2009-09-01,Train,5.87583369292798,5.7213659000820964,5.773836890316748,5.863036709481527,5.866048794857165,5.819942842586957
2009-10-01,Train,5.85296858017553,5.709033175352834,5.7575029215855595,5.843284774864529,5.845915427699022,5.801709174642291
2009-11-01,Train,5.81429295716623,5.6801538730137,5.720785501033109,5.80668081614879,5.809267172527154,5.7650263367801315
2009-12-01,Train,5.76093165107093,5.637300305038388,5.674306431287847,5.75446135995889,5.757371209031181,5.715838820159514
2010-01-01,Train,5.69117089540503,5.580510479544689,5.616898926123848,5.689260227141627,5.690474470836212,5.65368669848003
2010-02-01,Train,5.61406226555025,5.514807233131408,5.547543445143963,5.604791159339462,5.606838645276081,5.5771910452100215
2010-03-01,Train,5.52712124943699,5.43870539111977,5.470700922488272,5.51555240867031,5.519923106218566,5.495312014353419
2010-04-01,Train,5.43706219307931,5.3591608775685655,5.380760420266326,5.452272651230462,5.446516744421056,5.413638582343691
2010-05-01,Train,5.34465228317504,5.2767893910144625,5.294216068001584,5.367627924727708,5.35967022860218,5.326943148301883
2010-06-01,Train,5.24959041559936,5.190734499908694,5.209094312057453,5.276476266596165,5.2666931839243345,5.237893747990894
2010-07-01,Train,5.15857356762499,5.106584579952511,5.121059333900777,5.146548278596952,5.14989755864951,5.135478446275144
2010-08-01,Train,5.06559360779947,5.023527065532527,5.0406151126602445,5.0653420403577005,5.066840298318373,5.053727705489309
2010-09-01,Train,4.97983136914053,4.942632127857497,4.958376010629504,4.985812717518458,4.983253783251638,4.970814896940571
2010-10-01,Train,4.89681608740878,4.866137630727954,4.876800487256234,4.919817077495022,4.911632129769713,4.894216308512973
2010-11-01,Train,4.817568135076,4.793169388430515,4.80178983981607,4.838224769598114,4.832044404429461,4.816917122122766
2010-12-01,Train,4.74615421612391,4.725228725620639,4.7335352993144015,4.75450895794239,4.750937897784003,4.742236598549202
2011-01-01,Train,4.67487472461077,4.660187698326418,4.662254866166062,4.67911166864545,4.677119160779039,4.669687013472551
2011-02-01,Train,4.60891991334835,4.598596185920584,4.603818063929307,4.669208866610013,4.6503413589290545,4.6270797114291815
2011-03-01,Train,4.54594710684872,4.5404857113186505,4.543977444646935,4.570764052209908,4.561855494241181,4.552916469444059
2011-04-01,Train,4.48854707330146,4.4856798930617146,4.486574759153139,4.494356139648806,4.491291360263858,4.488933059708498
2011-05-01,Train,4.43852566530343,4.436924143067734,4.43932666028019,4.450018515857659,4.4479568064864,4.443641733383296
2011-06-01,Train,4.39282827027096,4.394749321951581,4.394825916741909,4.393690187360495,4.3929354946046955,4.393880705673302
2011-07-01,Train,4.35652607858865,4.357663639930186,4.355992718663052,4.360010777127764,4.358123460213229,4.357058089438141
2011-08-01,Train,4.32375907760508,4.326548651256976,4.323699235016539,4.329197521784103,4.326684332211126,4.325191783613833
2011-09-01,Train,4.29892166595308,4.300194547265104,4.300232207671555,4.303710825883189,4.303972394955618,4.302102301313586
2011-10-01,Train,4.28040992559563,4.281047544136691,4.28352328761254,4.281872824130688,4.281879777116953,4.282701532364746
2011-11-01,Train,4.2646546367183,4.266182406521763,4.2669087136292285,4.261702325260927,4.261503584257119,4.264206148943173
2011-12-01,Train,4.25405618855527,4.254153867285229,4.254274122836136,4.252811334647875,4.252818493860268,4.253546308348201
2012-01-01,Train,4.24357580200736,4.244670900420731,4.248333231685517,4.243113926282476,4.244155667772389,4.246244449728952
2012-02-01,Train,4.23710767273286,4.237243150160742,4.2365350103160795,4.236341964438013,4.236357863416838,4.236446436866459
2012-03-01,Train,4.23229960010336,4.232197438897179,4.228855876149502,4.233084196001277,4.233055217109109,4.230955546629305
2012-04-01,Train,4.22954015499998,4.229295259289907,4.226847886116913,4.229829515099812,4.231173315965838,4.229010601041375
2012-05-01,Train,4.23050934955257,4.2280948607679845,4.229867978186666,4.229897891684554,4.229682426784871,4.229775202485769
2012-06-01,Train,4.2302085840961,4.228560135782809,4.232936215787762,4.230093540714114,4.230423203068425,4.231679709428094
2012-07-01,Train,4.23314157144661,4.22955134166269,4.232786657508168,4.232779136802335,4.2330099510042745,4.232898304256222
2012-08-01,Train,4.23524188980589,4.231858510536428,4.232138823247826,4.2352349760629195,4.235093304899213,4.233616064073519
2012-09-01,Train,4.23692764903678,4.233800593558767,4.234246728946046,4.236359804093926,4.236053023818077,4.235149876382063
2012-10-01,Train,4.23820420414099,4.235076078385779,4.234151786042852,4.237338335012659,4.238031251965199,4.236091519004026
2012-11-01,Train,4.23503501837605,4.2345298123784145,4.234719558962104,4.2348448910880645,4.234765497815004,4.234742528388554
2012-12-01,Train,4.23151442040098,4.230904634609579,4.230336194954874,4.231292924836298,4.23210939060965,4.231222792782263
2013-01-01,Train,4.22283014818127,4.224921859154517,4.224020138736127,4.223372029197921,4.22199060543434,4.223005372085233
2013-02-01,Train,4.21391807465601,4.21690711600281,4.215111582055083,4.21194998185633,4.212153244549787,4.213632413302435
2013-03-01,Train,4.20388975566324,4.208669498925836,4.208234312835273,4.204680769623632,4.204243527643187,4.2062389202392305
2013-04-01,Train,4.19297216081207,4.199225328502989,4.196847583361289,4.194028154150908,4.194292049661861,4.195569816511575
2013-05-01,Train,4.18528410386689,4.190726600568336,4.190853697100864,4.18447980617749,4.186480041672206,4.188666869386535
2013-06-01,Train,4.17560551186927,4.18254324733603,4.17592704862726,4.175707179072681,4.174551492689075,4.175239270658168
2013-07-01,Train,4.1688042949793,4.17537262981058,4.1755216231828545,4.165540038347253,4.166467679027822,4.170994651105338
2013-08-01,Train,4.1604462458963,4.168887000981579,4.166486182297059,4.158393934873898,4.159228008190019,4.162857095243539
2013-09-01,Train,4.15148317388561,4.160422402130271,4.158458394350796,4.147410310673008,4.149340571471892,4.153899482911344
2013-10-01,Train,4.14157432842587,4.1514500936134775,4.150735548425322,4.139304046089732,4.140311730430884,4.145523639428103
2013-11-01,Train,4.1266893564114,4.1408605204683315,4.138629732743483,4.12649708373138,4.126518746547041,4.132574239645262
2013-12-01,Train,4.11092049410095,4.1266375963763515,4.122333866144762,4.112288847132238,4.109487474307698,4.1159106702262305
2014-01-01,Train,4.08872606590609,4.109352275734766,4.101466240571937,4.090907138568282,4.090242582848493,4.0958544117102145
2014-02-01,Train,4.06522805020227,4.088204951111126,4.078968412253061,4.0706317493792925,4.070487441264257,4.0747279267586585
2014-03-01,Train,4.03949587174315,4.066334084546211,4.058566149891305,4.0404399583822705,4.039177265359793,4.0488717076255485
2014-04-01,Train,4.01284482884095,4.041782002669361,4.031427100652638,4.013609281157173,4.012063989957297,4.0217455453049675
2014-05-01,Train,3.98909111508688,4.019267793725545,4.009595630392668,3.9934054604700604,3.9939846115803994,4.001790120986533
2014-06-01,Train,3.96328037447491,3.9968525949310676,3.985282997371588,3.9674592464741987,3.963559847261769,3.974421422316679
2014-07-01,Train,3.94052088383589,3.9747771832475864,3.965056586966565,3.9446802730843737,3.9434712642653555,3.9542639256159604
2014-08-01,Train,3.91621293823112,3.9536021750585104,3.941381389428154,3.919068173520614,3.9184746180310204,3.9299280037295876
